step,time,ResidMax,ResidRMS,DilMax,IntDiv,IntAbsDiv,dt
0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00972222
1,0.00972222,6.69114977,3.32252974,0.23360449,-0.00371301,0.00535302,0.00972222
2,0.01944444,4.56208552,3.19190847,0.37873568,-0.00720457,0.01051974,0.00972222
3,0.02916667,4.48724058,3.09279734,0.46717945,-0.01059022,0.01555583,0.00972222
4,0.03888889,4.41129817,3.00652866,0.52221981,-0.01390338,0.02043564,0.00972222
5,0.04861111,4.30884097,2.92738657,0.55836146,-0.01715238,0.02516099,0.00972222
6,0.05833333,4.23721771,2.85307417,0.57601343,-0.02033990,0.02975318,0.00972222
7,0.06805556,4.15453606,2.78244018,0.58190996,-0.02346812,0.03421910,0.00972222
8,0.07777778,4.06742815,2.71481349,0.58104019,-0.02653947,0.03856175,0.00972222
9,0.08750000,3.98312174,2.64976125,0.57675072,-0.02955639,0.04277757,0.00972222
10,0.09722222,3.90329322,2.58698334,0.57114850,-0.03252102,0.04687581,0.00972222
11,0.10694444,3.82529785,2.52625982,0.58339812,-0.03543522,0.05085047,0.00972222
12,0.11666667,3.74556947,2.46742218,0.61678007,-0.03830057,0.05470602,0.00972222
13,0.12638889,3.66734216,2.41033648,0.64517809,-0.04111841,0.05844545,0.00972222
14,0.13611111,3.59389475,2.35489298,0.69589914,-0.04388996,0.06207039,0.00972222
15,0.14583333,3.52026699,2.30099948,0.74572455,-0.04661633,0.06558402,0.00972222
16,0.15555556,3.44702940,2.24857688,0.79468437,-0.04929855,0.06898614,0.00972222
17,0.16527778,3.37749699,2.19755619,0.84280805,-0.05193759,0.07228353,0.00972222
18,0.17500000,3.30897264,2.14787630,0.89012417,-0.05453436,0.07547406,0.00972222
19,0.18472222,3.24141638,2.09948250,0.93665785,-0.05708975,0.07855644,0.00972222
20,0.19444444,3.17604962,2.05232532,0.98242747,-0.05960457,0.08153177,0.00972222
21,0.20416667,3.11198880,2.00635964,1.02744230,-0.06207962,0.08441334,0.00972222
22,0.21388889,3.04939165,1.96154403,1.07170187,-0.06451566,0.08720340,0.00972222
23,0.22361111,2.98850008,1.91784016,1.11519713,-0.06691342,0.08992138,0.00972222
24,0.23333333,2.92903483,1.87521227,1.15791270,-0.06927359,0.09258848,0.00972222
25,0.24305556,2.87103660,1.83362680,1.19982956,-0.07159686,0.09521088,0.00972222
26,0.25277778,2.81404570,1.79305198,1.24092768,-0.07388387,0.09780374,0.00972222
27,0.26250000,2.76390387,1.75345754,1.28118798,-0.07613530,0.10034748,0.00972222
28,0.27222222,2.71791274,1.71481452,1.32059387,-0.07835176,0.10283226,0.00972222
29,0.28194444,2.67217232,1.67709508,1.35913206,-0.08053390,0.10525385,0.00972222
30,0.29166667,2.62672007,1.64027244,1.39679295,-0.08268234,0.10760791,0.00972222
31,0.30138889,2.58158782,1.60432089,1.43357065,-0.08479770,0.10989123,0.00972222
32,0.31111111,2.53680285,1.56921572,1.46946267,-0.08688058,0.11210582,0.00972222
33,0.32083333,2.49238898,1.53493327,1.50446937,-0.08893157,0.11425051,0.00972222
34,0.33055556,2.44990049,1.50145098,1.53859329,-0.09095127,0.11633352,0.00972222
35,0.34027778,2.40870573,1.46874732,1.57183832,-0.09294025,0.11835051,0.00972222
36,0.35000000,2.36789405,1.43680188,1.60420883,-0.09489904,0.12031182,0.00972222
37,0.35972222,2.32748003,1.40559529,1.63570877,-0.09682820,0.12226510,0.00972222
38,0.36944444,2.28747804,1.37510924,1.66634083,-0.09872824,0.12418601,0.00972222
39,0.37916667,2.24790219,1.34532645,1.69610570,-0.10059965,0.12608705,0.00972222
40,0.38888889,2.20876618,1.31623065,1.72500142,-0.10244292,0.12796047,0.00972222
41,0.39861111,2.17008321,1.28780653,1.75302281,-0.10425851,0.12980254,0.00972222
42,0.40833333,2.13235283,1.26003973,1.78016115,-0.10604685,0.13163295,0.00972222
43,0.41805556,2.09633088,1.23291678,1.80640392,-0.10780837,0.13342820,0.00972222
44,0.42777778,2.06079890,1.20642501,1.83173473,-0.10954348,0.13520351,0.00972222
45,0.43750000,2.02576351,1.18055246,1.85613337,-0.11125254,0.13696826,0.00972222
46,0.44722222,1.99122957,1.15528783,1.87957602,-0.11293594,0.13872682,0.00972222
47,0.45694444,1.95719998,1.13062030,1.90203563,-0.11459401,0.14048037,0.00972222
48,0.46666667,1.92367566,1.10653942,1.92348234,-0.11622708,0.14220022,0.00972222
49,0.47638889,1.89100049,1.08303499,1.94388410,-0.11783546,0.14389434,0.00972222
50,0.48611111,1.85987692,1.06009696,1.96320732,-0.11941946,0.14556530,0.00972222
